"0","1079","2006-02-02 01:50:42","1294.10","88","Ordered","http://morales-wilson.com/"
"1","303","2013-04-06 22:24:02","2447.64","8","Ordered","https://black.com/"
"2","27","1980-06-16 01:49:49","1395.27","15","Ordered","https://hines.info/"
"3","340","2006-03-22 00:06:13","4110.02","9","Ordered","https://www.ingram-mills.com/"
"4","1020","2002-04-16 13:14:37","1359.25","68","Delivered","https://www.bernard-alexander.biz/"
"5","192","1979-08-08 16:20:26","2673.29","28","Delivered","https://www.roach-brown.com/"
"6","981","2008-09-11 21:05:03","4418.75","64","In Transit","http://chase.com/"
"7","488","2006-06-21 19:16:55","3403.34","24","Ordered","https://www.cooper-sweeney.com/"
"8","37","2007-01-16 14:37:40","1067.45","28","Delivered","https://www.walter.com/"
"9","727","2021-10-03 05:48:39","1590.52","11","Ordered","http://www.jones-parker.com/"
"10","499","2006-05-16 17:58:32","1462.64","69","Delivered","http://www.moon.com/"
"11","1413","1998-02-09 23:22:56","1113.84","51","In Transit","http://www.watts.com/"
"12","569","1996-09-15 23:34:19","4664.15","64","Delivered","http://merritt-brown.com/"
"13","1356","1972-06-29 15:07:45","1753.71","72","Ordered","https://perry-bryant.com/"
"14","963","1989-08-06 02:57:30","784.23","75","In Transit","https://www.reyes-solis.com/"
"15","402","1996-07-27 06:54:52","4741.60","55","Ordered","https://www.johnson.com/"
"16","1111","2008-03-10 15:36:35","2985.08","84","Delivered","https://www.bell.net/"
"17","240","1983-02-07 10:31:34","3922.87","36","Ordered","https://www.brown.com/"
"18","1169","2013-09-04 13:15:28","993.62","40","In Transit","http://richardson-marsh.net/"
"19","527","1987-09-15 20:16:49","4602.64","91","Delivered","http://williams.com/"
"20","553","1978-02-25 21:07:29","2233.35","8","Ordered","http://castaneda.org/"
"21","637","1982-02-28 19:09:05","248.00","17","Delivered","http://www.smith.net/"
"22","1103","1995-03-05 10:14:40","2108.64","56","Delivered","http://park.com/"
"23","974","2013-11-07 07:54:41","6.87","20","Delivered","https://smith.com/"
"24","294","2001-09-22 07:41:56","64.09","90","Delivered","http://www.mcgee-taylor.org/"
"25","684","1988-08-18 19:03:12","2354.37","43","Ordered","https://www.rice.info/"
"26","554","2011-12-27 00:09:54","1071.10","50","Delivered","http://mcgee-marshall.info/"
"27","609","1978-06-20 19:03:35","1477.13","27","Ordered","https://aguilar.info/"
"28","770","1980-09-19 12:39:53","2956.86","96","In Transit","http://www.fields.com/"
"29","878","2006-11-17 16:41:20","4814.34","79","In Transit","http://www.aguilar.com/"
"30","1412","1996-04-09 10:23:19","4542.61","18","In Transit","https://www.mitchell.com/"
"31","1366","1997-02-06 17:04:41","1171.52","41","Ordered","http://thompson.com/"
"32","1147","1975-06-29 14:49:34","974.01","10","Delivered","http://www.brown.com/"
"33","741","1985-05-04 05:31:11","4373.49","71","Ordered","https://gilbert.com/"
"34","545","1985-08-23 04:59:37","340.49","28","In Transit","http://www.cochran-cole.org/"
